PWSID,Water System Name,Water System Website,CCR, Population , Service Connections , Median Household Income , Water Bill ,Hours of Minimum Wage,Governance Type,Leadership Mechanism,Upcoming Election,GoverningBody, Average Governing Body Compensation ,Leadership Pop_Asian,Leadership Pop_Black,Leadership Pop_Hispanic,Leadership Pop_NA,Leadership Pop_TwoOrMore,Leadership Pop_White,Required Operator,Highest Operator On Staff,RiskScore,Water Quality Violations 2015-2019,Primary Water Source
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910005.pdf," 13,830 "," 3,594 ",   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,Appointment,No data,LA County Board of Supervisors,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T3,Not In Risk Assessment,0,SWP
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",https://www.paramountcity.com/services/water-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910105.pdf," 55,497 "," 7,347 "," $57,295 ", $25.71 ,2,City/Municipal,Municipal Election,2022,City Council," $12,736 ",0,0,3,0,0,2,T2,T2,Not In Risk Assessment,0,SWP
CA1910034,"DOWNEY - CITY, WATER DEPT.",https://www.downeyca.org/our-city/departments/public-works/utilities/water-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910034.pdf," 112,214 "," 23,631 "," $75,939 ", $29.95 ,2,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,0,0,3,0,0,2,None,T3,Not In Risk Assessment,0,GW
CA1910019,"CERRITOS - CITY, WATER DEPT.",http://www.cerritos.us/GOVERNMENT/city_organization/departments/water_and_power/water_utility.php,https://drinc.ca.gov/ear/CCR/CCR2019CA1910019.pdf," 49,041 "," 15,743 "," $103,619 ", $31.43 ,3,City/Municipal,Municipal Election,2022,City Council," $13,649 ",3,0,0,0,1,1,T2,T2,Not In Risk Assessment,0,SWP
CA1910003,CITY OF ARCADIA,https://www.arcadiaca.gov/shape/public_works_services_department/water___sewer_services/water_sewer.php,https://drinc.ca.gov/ear/CCR/CCR2019CA1910003.pdf," 44,705 "," 13,545 "," $98,358 ", $31.91 ,3,City/Municipal,Municipal Election,2022,City Council," $6,000 ",2,0,0,0,0,3,T3,T3,Not In Risk Assessment,0,GW
CA1910007,AZUSA LIGHT AND WATER,https://www.ci.azusa.ca.us/132/Light-Water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910007.pdf," 106,400 "," 23,644 "," $72,366 ", $33.81 ,3,City/Municipal,Municipal Election,2022,City Council," $4,800 ",0,0,4,0,0,1,T4,T5,Not In Risk Assessment,0,SW
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,https://www.lrcid.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910064.pdf," 3,405 "," 1,294 "," $60,531 ", $33.81 ,3,Irrigation District,Municipal Election,No data,Board of Directors," $1,100 ",0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,GW
CA1910009,VALLEY COUNTY WATER DIST.,https://www.vcwd.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910009.pdf," 56,556 "," 12,462 "," $66,069 ", $34.11 ,3,Special District,Municipal Election,No data,Board of Directors," $20,718 ",0,0,5,0,0,0,T5,T5,Not In Risk Assessment,0,GW
CA1910167,"VERNON-CITY, WATER DEPT.",https://www.cityofvernon.org/government/public-utilities/water-division,https://drinc.ca.gov/ear/CCR/CCR2019CA1910167.pdf," 30,000 "," 1,104 "," $37,667 ", $34.70 ,3,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,1,0,3,0,0,1,T1,T2,Not At-Risk,0,SWP
CA1910240,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,https://yourscvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910240.pdf," 99,094 "," 30,184 "," $115,536 ", $35.88 ,3,Special District,Municipal Election,No data,Board of Directors," $15,962 ",0,0,0,0,0,12,T1,T2,Not In Risk Assessment,0,SWP
